Title,Gender,Ethnicity,Annual Salary,Years of Employment
Firefighter,M,White,52069.11,1
Firefighter,M,Hispanic or Latino,52069.16,2
Fire Specialist,M,White,75999.56,7
Firefighter,M,White,89807.12,31
Fire Specialist,M,White,92372.8,21
Firefighter,M,White,73888.36,11
Fire Specialist,M,White,92372.8,21
Firefighter,M,Black or African American,67020.46,6
Fire Specialist,M,White,92372.8,22
Fire Specialist,M,White,79799.98,13
Fire Specialist,M,White,75999.46,7
Fire Specialist,M,Hispanic or Latino,79799.98,11
Fire Specialist,M,White,96991.96,25
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,White,70369.0,7
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,Hispanic or Latino,61400.82,4
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,White,70369.0,7
Fire Specialist,M,White,79799.98,12
Firefighter,M,White,67020.46,6
Firefighter,M,White,67020.46,6
Firefighter,M,White,70369.0,7
Firefighter,M,Hispanic or Latino,89807.12,39
Firefighter,M,White,77578.54,15
Firefighter,M,White,52069.16,2
Fire Specialist,M,White,87979.84,18
Fire Specialist,M,White,87979.84,18
Firefighter,M,White,56589.0,3
Firefighter,M,White,81461.9,17
Firefighter,M,Hispanic or Latino,73888.36,12
Firefighter,M,Hispanic or Latino,66855.1,6
Firefighter,M,Hispanic or Latino,81461.9,18
Firefighter,M,White,67020.46,6
Fire Specialist,M,Hispanic or Latino,79799.98,13
Firefighter,M,White,52069.11,1
Firefighter,M,White,77578.54,15
Fire Specialist,F,White,79799.2,12
Firefighter,M,White,85532.46,21
Firefighter,M,White,73889.92,11
Fire Specialist,M,White,96992.48,25
Fire Specialist,M,White,75999.56,7
Firefighter,M,White,89808.16,24
Firefighter,M,Black or African American,81461.9,17
Firefighter,M,Black or African American,67020.46,3
Firefighter,M,White,61400.82,4
Firefighter,M,Hispanic or Latino,52069.16,2
Firefighter,M,Hispanic or Latino,56589.0,3
Fire Specialist,M,White,96991.96,25
Firefighter,M,Asian,67020.46,6
Fire Specialist,M,White,96991.96,25
Firefighter,M,White,61401.6,4
Firefighter,M,White,89807.12,33
Firefighter,F,White,70369.0,7
Firefighter,M,White,70369.0,7
Firefighter,M,Hispanic or Latino,70369.0,7
Fire Specialist,M,Hispanic or Latino,87979.84,17
Firefighter,M,White,67020.46,6
Firefighter,M,White,73889.92,12
Firefighter,M,White,56589.0,3
Fire Specialist,M,White,87979.84,18
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,67020.46,3
Fire Specialist,M,White,83785.26,15
Fire Specialist,M,Hispanic or Latino,83785.26,15
Fire Specialist,M,Hispanic or Latino,75999.56,7
Firefighter,M,Hispanic or Latino,61400.82,4
Fire Specialist,M,Hispanic or Latino,87979.84,17
Fire Specialist,M,White,79799.98,12
Fire Specialist,M,Hispanic or Latino,83785.26,15
Firefighter,M,White,81461.9,17
Firefighter,M,White,67020.46,6
Firefighter,M,White,56589.0,3
Firefighter,M,White,52069.16,2
Firefighter,M,Hispanic or Latino,77578.54,15
Fire Specialist,M,White,87979.84,18
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,85532.46,20
Fire Specialist,M,Asian,79799.98,13
Fire Specialist,M,White,79799.98,12
Firefighter,M,White,81461.9,18
Firefighter,M,Hispanic or Latino,89807.12,30
Firefighter,M,Hispanic or Latino,77578.54,15
Firefighter,M,Hispanic or Latino,89807.12,25
Firefighter,M,Hispanic or Latino,61400.82,4
Fire Specialist,M,Hispanic or Latino,92372.8,22
Firefighter,M,White,61400.82,4
Firefighter,M,White,67020.46,6
Administrative Specialist,F,Asian,44782.4,10
Fire Specialist,M,White,96992.48,25
Firefighter,M,White,61400.82,4
Fire Specialist,M,Asian,75999.56,7
Firefighter,M,White,73888.36,12
Firefighter,M,White,67020.46,6
Firefighter,M,White,89807.12,24
Firefighter,F,White,73888.36,11
Firefighter,M,Black or African American,81461.9,17
Firefighter,M,White,56589.0,3
Firefighter,M,White,52069.11,1
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,67020.46,6
Firefighter,M,White,52069.11,1
Firefighter,M,White,67020.46,6
Fire Specialist,F,White,79799.98,13
Firefighter,M,White,85532.46,22
Firefighter,M,White,89807.12,31
Firefighter,M,White,85532.46,21
Firefighter,M,Hispanic or Latino,73888.36,12
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,White,85532.46,21
Firefighter,M,Black or African American,61400.82,4
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,52069.11,1
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,52069.11,1
Fire Specialist,M,Hispanic or Latino,79799.98,13
Fire Specialist,M,Hispanic or Latino,83785.26,15
Fire Specialist,M,Hispanic or Latino,87979.84,18
Firefighter,M,White,70369.0,7
Firefighter,M,Hispanic or Latino,85531.68,22
Firefighter,M,White,67020.46,6
Firefighter,M,White,61400.82,4
Firefighter,M,White,52069.11,1
Firefighter,M,Black or African American,61400.92,1
Fire Specialist,M,White,92372.8,22
Firefighter,M,White,89808.16,25
Firefighter,M,White,67020.46,6
Firefighter,F,Hispanic or Latino,61400.82,4
Firefighter,M,Hispanic or Latino,67020.46,3
Fire Specialist,M,White,96992.48,25
Firefighter,M,Hispanic or Latino,56589.0,3
Firefighter,M,White,56589.0,3
Firefighter,M,White,89807.12,27
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,52069.11,1
Administrative Specialist,F,Hispanic or Latino,49150.4,4
Fire Specialist,M,White,96991.96,32
Fire Specialist,M,Hispanic or Latino,87979.84,18
Fire Specialist,M,White,79799.98,12
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,Hispanic or Latino,56589.0,3
Firefighter,M,Hispanic or Latino,61400.92,1
Firefighter,M,Hispanic or Latino,70368.48,7
Firefighter,M,Hispanic or Latino,61400.92,1
Fire Specialist,M,Hispanic or Latino,87979.84,17
Firefighter,M,Hispanic or Latino,61400.82,4
Fire Specialist,F,White,92372.85,21
Fire Specialist,M,Hispanic or Latino,96991.96,27
Firefighter,M,Hispanic or Latino,67020.46,6
Fire Specialist,M,White,96991.96,27
Firefighter,M,White,73889.92,12
Firefighter,M,Hispanic or Latino,89807.12,25
Fire Specialist,M,Hispanic or Latino,87979.84,18
Firefighter,M,Hispanic or Latino,52069.11,1
Fire Specialist,M,White,96991.96,25
Firefighter,M,Hispanic or Latino,61400.92,1
Fire Specialist,M,Hispanic or Latino,87979.84,17
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,Black or African American,67020.46,3
Firefighter,M,Hispanic or Latino,73888.36,13
Fire Specialist,M,Hispanic or Latino,87979.84,17
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,Hispanic or Latino,52069.11,2
Fire Specialist,M,White,87979.84,19
Firefighter,M,White,81461.9,18
Firefighter,F,White,67020.46,6
Firefighter,M,White,77578.54,15
Firefighter,M,White,70369.0,7
Firefighter,M,White,61400.92,1
Firefighter,M,White,52069.11,1
Firefighter,M,White,70369.0,7
Firefighter,M,White,61400.82,4
Fire Specialist,M,White,96991.96,24
Fire Specialist,M,White,87979.84,19
Firefighter,M,Hispanic or Latino,73888.36,13
Firefighter,M,Hispanic or Latino,89807.12,25
Firefighter,M,White,70369.0,7
Firefighter,M,White,73888.36,12
Fire Specialist,M,White,79799.98,11
Fire Specialist,M,White,96992.48,29
Firefighter,M,White,56589.0,3
Firefighter,F,White,67020.46,6
Firefighter,M,Black or African American,67020.46,3
Fire Specialist,M,White,75999.46,7
Firefighter,M,Black or African American,81461.9,17
Firefighter,M,White,70369.0,7
Firefighter,M,White,70369.0,7
Firefighter,M,White,73888.36,13
Firefighter,F,White,61400.82,4
Firefighter,M,White,52069.16,2
Fire Specialist,M,White,79799.98,11
Fire Specialist,M,Black or African American,83785.26,15
Firefighter,F,White,70369.0,7
Firefighter,F,White,61400.82,4
Firefighter,M,White,73888.36,13
Firefighter,M,White,52069.16,2
Firefighter,M,White,67020.46,6
Firefighter,M,White,56589.0,3
Firefighter,M,White,61400.92,1
Firefighter,M,White,89807.12,23
Fire Specialist,M,White,72383.48,6
Firefighter,M,White,70369.0,7
Firefighter,F,White,67020.46,6
Firefighter,M,White,61400.82,4
Firefighter,M,White,70369.0,7
Firefighter,M,Black or African American,61400.92,1
Fire Specialist,M,Black or African American,79799.98,13
Firefighter,F,White,52069.11,1
Fire Specialist,M,White,87979.84,18
Firefighter,F,White,67020.46,6
Firefighter,M,White,67020.46,6
Fire Specialist,M,Asian,75999.56,7
Firefighter,M,Hispanic or Latino,67020.46,3
Fire Specialist,M,White,96991.96,29
Firefighter,M,White,73889.92,13
Firefighter,M,White,56589.0,3
Firefighter,M,Hispanic or Latino,89807.12,25
Fire Specialist,M,Black or African American,92372.8,22
Firefighter,M,White,70368.48,7
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,56589.0,3
Fire Specialist,M,Asian,83785.26,15
Firefighter,M,White,85532.46,21
Firefighter,M,Black or African American,77578.54,15
Firefighter,M,White,89808.16,25
Firefighter,M,White,67020.46,6
Firefighter,M,Black or African American,52069.16,2
Firefighter,M,Black or African American,56589.0,3
Fire Specialist,M,White,75999.46,7
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,56589.0,3
Firefighter,M,White,56589.0,3
Fire Specialist,M,White,96991.96,29
Fire Specialist,M,White,96992.48,24
Firefighter,M,White,85532.46,21
Firefighter,M,White,67020.46,6
Fire Specialist,M,Hispanic or Latino,87979.79,18
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,Black or African American,61400.82,4
Firefighter,M,White,52069.16,2
Firefighter,M,White,81461.9,18
Firefighter,M,White,67020.46,6
Fire Specialist,M,White,87979.84,18
Firefighter,M,Hispanic or Latino,67020.46,6
Fire Specialist,M,White,96991.96,28
Firefighter,M,White,61400.82,4
Firefighter,M,Hispanic or Latino,77578.54,15
Fire Specialist,M,Asian,83785.26,15
Firefighter,M,Hispanic or Latino,73889.92,12
Firefighter,M,Black or African American,70369.0,7
Firefighter,M,White,85532.46,22
Firefighter,M,Hispanic or Latino,52069.11,1
Firefighter,M,Hispanic or Latino,77578.54,15
Firefighter,M,White,70368.48,7
Fire Specialist,M,Black or African American,96991.96,25
Firefighter,F,White,52069.11,1
Firefighter,M,White,89807.12,29
Firefighter,F,White,70369.0,7
Firefighter,M,White,81461.9,18
Firefighter,F,Black or African American,70369.0,7
Firefighter,M,White,67020.46,6
Firefighter,F,White,61400.82,4
Firefighter,M,Black or African American,61401.6,4
Firefighter,M,Black or African American,52069.16,2
Firefighter,M,White,67020.46,6
Firefighter,F,White,56589.0,3
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,White,77577.76,15
Firefighter,M,White,85532.46,21
Firefighter,M,White,52069.11,1
Fire Specialist,M,White,75999.56,7
Fire Specialist,M,White,83785.26,15
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,73888.36,12
Firefighter,M,White,52069.11,1
Firefighter,M,White,70369.0,7
Firefighter,M,White,89807.12,24
Firefighter,M,Black or African American,73888.36,13
Firefighter,M,White,89807.12,25
Firefighter,M,Black or African American,70369.0,7
Firefighter,F,White,52069.16,2
Firefighter,F,White,70369.0,7
Firefighter,M,Black or African American,52069.11,1
Fire Specialist,M,Black or African American,83785.26,15
Firefighter,M,White,81463.2,17
Fire Specialist,M,Hispanic or Latino,96991.96,25
Firefighter,M,White,73888.36,11
Firefighter,M,Hispanic or Latino,52069.16,2
Fire Specialist,M,Hispanic or Latino,75999.04,7
Firefighter,M,White,52069.16,2
Firefighter,M,White,52069.16,2
Firefighter,M,White,89807.12,25
Fire Specialist,M,White,75999.56,7
Firefighter,M,Asian,67020.46,6
Firefighter,M,White,89808.16,25
Administrative Specialist,F,White,42764.8,6
Fire Specialist,M,White,79799.98,13
Firefighter,F,Black or African American,67020.46,3
Firefighter,M,White,73888.36,11
Firefighter,M,Black or African American,81463.2,18
Firefighter,M,White,61400.82,4
Firefighter,M,White,85532.46,22
Fire Specialist,M,Hispanic or Latino,96991.96,24
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,61400.82,4
Firefighter,M,Hispanic or Latino,73888.36,13
Fire Specialist,M,White,83785.26,15
Administrative Specialist,M,Hispanic or Latino,49920.0,3
Firefighter,M,White,61400.82,4
Fire Specialist,M,White,87979.84,17
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,67020.46,6
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,White,85531.68,22
Firefighter,M,White,67020.46,6
"MuniProg, Paraprofessional",F,White,61048.0,2
Administrative Specialist,F,White,56347.2,26
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",M,White,29307.2,3
Administrative Specialist,F,Black or African American,51542.4,15
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,30160.0,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,22
"MuniProg, Paraprofessional",M,White,28787.2,7
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,1
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Asian,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,Asian,28787.2,1
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,7
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
Administrative Specialist,F,White,42640.0,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Asian,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,32240.0,2
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,6
"MuniProg, Paraprofessional",F,White,72800.0,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,1
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,7
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,White,30160.0,4
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,7
"MuniProg, Paraprofessional",M,White,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,12
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,13
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,38480.0,10
"MuniProg, Paraprofessional",F,Hispanic or Latino,38480.0,3
"MuniProg, Paraprofessional",M,Black or African American,32240.0,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,Asian,28787.2,2
"MuniProg, Paraprofessional",F,White,28787.2,4
"MuniProg, Paraprofessional",F,White,41600.0,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,4
"MuniProg, Paraprofessional",M,White,29307.2,3
Administrative Specialist,M,Hispanic or Latino,47403.2,5
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,4
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,3
"MuniProg, Paraprofessional",F,White,32240.0,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,31200.0,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,16
"MuniProg, Paraprofessional",M,Black or African American,32240.0,6
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,6
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,31200.0,11
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Asian,28787.2,3
"MuniProg, Paraprofessional",F,Asian,34964.8,5
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",F,Asian,30160.0,2
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,4
"MuniProg, Paraprofessional",F,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,38480.0,6
"MuniProg, Paraprofessional",F,White,28787.2,4
"MuniProg, Paraprofessional",M,White,28787.2,1
"MuniProg, Paraprofessional",M,Black or African American,38480.0,12
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,38480.0,7
"MuniProg, Paraprofessional",F,White,41600.0,1
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,7
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,30160.0,2
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,7
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,6
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,35360.0,5
"MuniProg, Paraprofessional",F,Black or African American,28787.2,5
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,12
"MuniProg, Paraprofessional",M,Black or African American,28787.2,1
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,5
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,41600.0,2
"MuniProg, Paraprofessional",F,Black or African American,28787.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,13
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,Black or African American,28787.2,8
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,4
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
Administrative Specialist,F,White,48235.2,5
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,32240.0,1
"MuniProg, Paraprofessional",F,White,28787.2,7
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,30160.0,4
"MuniProg, Paraprofessional",F,Asian,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Black or African American,28787.2,4
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,5
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,7
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,White,28787.2,3
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,4
"MuniProg, Paraprofessional",F,Hispanic or Latino,38480.0,6
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",M,White,29307.2,5
"MuniProg, Paraprofessional",M,Black or African American,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,3
"MuniProg, Paraprofessional",F,White,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Black or African American,29307.2,3
"MuniProg, Paraprofessional",F,White,28787.2,1
"MuniProg, Paraprofessional",M,White,29307.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,31200.0,3
"MuniProg, Paraprofessional",M,Black or African American,38480.0,6
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",M,White,28787.2,2
"MuniProg, Paraprofessional",F,White,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,4
"MuniProg, Paraprofessional",F,White,72800.0,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,30160.0,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,29307.2,2
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,32240.0,3
"MuniProg, Paraprofessional",F,White,28787.2,2
"MuniProg, Paraprofessional",M,White,29307.2,3
"MuniProg, Paraprofessional",M,Black or African American,28787.2,1
